2|5495|3593|8006|
3|2312|2886|9011|
8|534|173|9754|
10|8745|4620|7071|
12|7441|1325|6908|
14|4810|205|9650|
18|1335|148|10303|
21|6537|2237|9292|
23|6341|31|7300|
27|2789|2003|7691|
30|1929|2476|10121|
35|11326|1809|9206|
37|7901|4125|6979|
42|10602|970|8752|
44|7056|2378|6252|
45|7494|2426|8133|
46|4843|2436|7822|
49|8661|4333|7997|
51|9472|2491|9996|
53|10692|1809|9643|
56|8234|2156|6495|
58|10303|2860|9683|
61|43|3564|6458|
64|4758|1046|7110|
65|9133|3249|6943|
67|618|4190|10301|
71|9239|4521|8638|
76|1839|3742|7647|
78|10285|4169|6021|
82|375|3349|6065|
84|5602|2005|9345|
86|9969|2420|7920|
89|9329|2559|10258|
90|906|288|6741|
93|10293|1968|7330|
94|1331|780|9968|
98|1221|1960|6933|
99|4833|4345|8883|
103|7664|1325|9982|
108|5415|1381|9413|
109|2133|1163|6466|
114|7483|1590|7557|
118|3003|2193|7822|
119|4782|2047|10424|
120|7150|288|10410|
124|1404|2397|6126|
129|1363|313|8754|
130|246|2669|6385|
135|2325|1381|8221|
137|9806|3965|7708|
138|8787|3374|6944|
139|4223|4075|9476|
141|956|2003|8622|
144|2909|2265|9991|
145|5819|326|7092|
146|1058|2426|9945|
149|9636|4366|8938|
151|4824|3|7774|
156|4238|370|8378|
160|7201|1935|6116|
163|10849|1748|6827|
165|464|662|6040|
166|9176|1642|6067|
171|10824|118|8006|
175|10516|536|9437|
180|9979|1597|8575|
184|2000|3159|9979|
189|9736|3438|9915|
193|104|3098|9411|
197|5706|236|8527|
201|10556|4110|9045|
205|4348|4512|7335|
210|4374|3863|8491|
211|7311|1926|8990|
212|2926|4647|7813|
214|8535|3982|8218|
215|6518|1684|10356|
216|2903|682|10053|
221|5631|789|10072|
225|278|33|10053|
228|9640|2010|8416|
232|3685|2252|8239|
237|9410|2458|8680|
241|2107|3181|7013|
243|9614|4018|6372|
247|1259|2816|6344|
251|10763|3845|8026|
256|2528|3142|6029|
261|8421|4229|9042|
266|6511|3260|6775|
271|5354|2434|8205|
274|5111|3267|6106|
279|11194|4355|9232|
283|6992|2903|10051|
285|1320|2788|6649|
287|1735|2560|9395|
290|2608|84|10375|
291|8673|1526|6290|
293|4218|3413|9843|
295|8669|2535|9591|
299|10899|23|7693|
303|8247|2546|10267|
305|137|4097|8009|
309|8366|1851|9225|
312|1651|3375|8897|
314|3102|1083|9227|
319|7418|231|6247|
320|5095|1985|10434|
322|1342|734|8620|
323|4782|1324|8121|
325|3449|4605|9784|
327|1856|3652|9217|
330|1058|4033|8817|
334|8134|4663|7252|
335|8850|4202|7691|
339|8932|612|8079|
344|8044|3290|6066|
349|7665|803|8057|
352|1095|368|7141|
354|7904|3693|7187|
356|1993|1029|7215|
361|2712|3344|6149|
364|6933|1522|9780|
366|6594|3647|10455|
370|10982|951|9191|
372|7664|3152|10202|
376|2729|4333|8565|
381|8785|4089|8470|
386|4903|48|7456|
389|7871|3798|9358|
392|896|161|10217|
394|5649|2335|9965|
396|8141|3621|8403|
401|6791|1024|8192|
405|6340|1622|9507|
406|5872|477|9450|
407|2245|1889|9670|
412|11087|3646|9567|
414|697|256|9424|
417|4335|4572|8657|
418|4478|2149|9061|
420|1293|492|10385|
423|3585|1906|10254|
427|2534|823|8018|
430|9567|3438|9781|
431|792|666|7266|
433|10960|2417|9030|
435|371|4111|6845|
437|10830|3883|8446|
438|2879|2508|8595|
443|5960|1847|6181|
447|1597|1448|9425|
448|5522|3433|9131|
450|15|133|6951|
452|6223|2685|8903|
454|11142|3761|10255|
