1|8463|582|
3|5165|6962|
7|8807|2418|
11|9259|315|
15|7833|834|
19|5954|2676|
23|10249|781|
28|4854|6374|
31|9334|3092|
33|6973|1441|
38|9348|488|
39|6792|3763|
41|4689|4616|
42|7320|2451|
45|9208|3319|
48|7094|6620|
53|6682|5231|
57|7041|734|
61|4862|3842|
65|8595|924|
70|9588|940|
74|8337|2219|
76|8633|7903|
80|5995|7304|
84|8630|3696|
88|6867|5425|
90|4708|8315|
92|4744|4065|
93|6944|2219|
95|9378|5472|
99|8985|288|
103|9456|3921|
105|6707|2131|
110|5371|2245|
112|7334|1444|
115|9403|3563|
116|7775|4486|
118|9484|1926|
120|7466|978|
122|4412|2547|
124|8898|7805|
129|6747|2715|
133|6566|1919|
136|9014|5439|
141|5212|6419|
143|6914|3264|
148|5243|1818|
152|9309|7490|
153|4608|644|
155|8719|1717|
158|5307|1104|
161|4717|7940|
165|9654|3557|
166|10260|1905|
167|9176|8196|
170|6322|7314|
173|8145|2732|
175|4524|2520|
176|4850|8466|
180|10158|4919|
184|6136|2610|
186|9839|1131|
190|5587|3743|
193|4818|1197|
196|5902|3877|
201|5360|6086|
205|7477|3788|
206|4874|1992|
208|10245|5304|
210|6449|5665|
214|6583|7744|
215|10099|1978|
218|8475|508|
219|7420|2865|
221|7325|3265|
223|7263|6000|
228|7959|6584|
229|6598|1653|
231|5264|7718|
233|6670|8235|
236|7483|7827|
241|9168|4122|
244|8049|6191|
249|5825|5234|
253|9060|6877|
256|9225|3151|
259|8820|1322|
263|7101|8314|
266|8824|4151|
267|7673|4236|
272|5721|6783|
274|6080|5964|
277|10155|8603|
282|9872|8281|
285|4741|4192|
288|8439|6547|
290|7614|812|
293|7973|6608|
296|9850|5494|
297|4678|8132|
301|8550|7302|
303|5027|8257|
306|7000|1389|
310|9160|495|
312|6454|428|
313|9125|2548|
315|7575|604|
318|6038|474|
323|8934|8219|
326|8315|600|
328|7916|7423|
333|9052|3973|
336|9310|362|
338|4725|5726|
340|4763|4901|
343|9917|5583|
348|9826|7389|
353|8891|6157|
356|6538|8610|
361|9048|1520|
364|6277|2493|
365|7561|8288|
367|6841|8176|
368|6061|5245|
370|7662|3335|
374|5760|497|
378|4658|2563|
380|9005|8260|
383|5793|3287|
386|6878|423|
389|9456|2130|
394|5657|4290|
395|6243|1373|
399|9006|783|
404|5734|6287|
409|8828|2481|
412|5581|927|
416|8477|8409|
420|7857|8348|
424|7452|2790|
425|9964|879|
428|9557|3795|
430|6147|2159|
431|9023|8192|
436|7066|1127|
438|8592|1238|
439|7743|6978|
444|5546|7314|
448|5100|663|
451|9575|1915|
454|7935|3607|
455|4554|1847|
459|7312|2223|
461|9799|7016|
464|7332|7393|
468|6417|3681|
469|7232|2195|
470|7358|4846|
472|9235|6110|
477|6129|6163|
479|5257|7522|
482|4757|2000|
487|7096|4853|
492|9999|6651|
493|6375|958|
495|9248|2383|
497|8105|450|
498|6398|623|
499|7483|2335|
502|8029|6792|
507|6103|4112|
512|7522|3207|
513|8784|798|
514|5658|918|
517|9013|5563|
521|5792|6433|
522|6063|966|
526|9154|419|
529|8636|7561|
532|9398|2090|
536|4933|7632|
540|8301|3032|
542|7688|3584|
544|8461|1622|
548|7399|3689|
551|9035|1560|
552|8410|4449|
554|5178|2745|
558|6681|3240|
563|6575|4049|
567|5399|3208|
571|6306|358|
573|8417|3219|
578|6425|2037|
583|6179|3240|
587|6769|6316|
591|4954|3671|
595|5160|2618|
598|5160|1799|
603|4763|7269|
605|7029|3876|
607|6047|5778|
612|6580|8054|
615|4823|3473|
618|4408|2695|
619|7349|5485|
621|9050|5892|
622|9471|3770|
624|6270|3883|
629|5725|6247|
631|9379|1939|
632|7500|3110|
635|6224|3303|
639|9194|2737|
642|8918|3878|
647|5288|2159|
648|9121|2218|
649|9517|1978|
651|6374|3314|
652|6523|6715|
657|7319|4362|
662|5861|3427|
666|9104|3102|
669|5038|3014|
673|7767|7868|
678|4431|7036|
682|5777|6609|
684|6929|2136|
685|8561|6090|
689|4649|7087|
692|10176|2403|
693|7301|3085|
694|4414|3706|
698|7820|3174|
702|7069|8149|
706|4548|3921|
711|4455|5590|
713|8679|7986|
717|8034|3683|
722|5687|8002|
723|5359|794|
725|10130|267|
730|10199|482|
731|5952|8310|
733|5287|3148|
734|8533|8387|
736|10037|6716|
740|5022|5733|
744|4810|7649|
749|6688|1216|
754|6225|7464|
755|6374|7113|
756|5790|2292|
757|9292|4630|
758|8277|5620|
762|5676|2384|
766|9720|7324|
769|6946|1303|
770|10161|5894|
775|7789|2034|
778|4623|4049|
780|5697|7956|
783|5007|4698|
787|9128|6871|
789|6766|2378|
794|5637|3121|
799|6339|1527|
802|8230|1472|
803|9575|8479|
805|6971|3959|
809|7897|8288|
810|5822|3019|
813|5797|5668|
814|6604|2693|
818|7721|7150|
823|8558|592|
825|8568|2471|
828|7258|385|
833|8422|1832|
838|8544|3203|
843|10189|835|
848|4419|1137|
852|9189|2208|
857|10048|2526|
861|6563|3993|
864|8106|4194|
867|7719|6671|
872|8174|5337|
875|5499|6831|
878|7276|3062|
880|4852|3980|
884|6686|4426|
886|8625|4004|
890|6645|2450|
891|9493|6443|
893|5372|5211|
898|5833|6067|
901|4606|1172|
902|7400|7735|
906|7867|3883|
908|6804|8042|
910|8927|6869|
913|8871|2081|
917|7364|5020|
921|8915|7355|
923|4718|2332|
927|6858|6434|
928|6383|3949|
933|9973|1299|
937|6187|5633|
942|7820|1028|
944|6904|8053|
946|6311|7848|
948|9222|6714|
951|8720|8103|
955|9925|8486|
956|7900|4798|
960|5271|7455|
963|6091|4313|
966|8569|4850|
967|4620|8576|
970|10204|5844|
972|6985|4252|
975|4413|4997|
976|5933|338|
979|5569|6085|
983|9981|7300|
985|9621|2653|
989|7062|2352|
994|9698|3254|
995|6201|2572|
997|4998|6567|
1000|9225|7802|
1005|9096|215|
1006|6155|4570|
1009|5446|615|
1011|9970|4095|
1012|10101|1567|
1014|4967|669|
1017|8672|2991|
1022|4666|3532|
1024|8425|8023|
1029|6571|8493|
1032|6783|6596|
1035|6259|2995|
1039|8581|7170|
1042|5549|7852|
1043|6077|3586|
1046|7557|2557|
1051|9638|7190|
1053|5417|1511|
1056|8301|6734|
1061|9060|5893|
1065|4695|7625|
1067|10105|1627|
1071|5632|1296|
1076|8939|3497|
1079|8033|5633|
1081|9423|5221|
1083|5512|3149|
1084|8256|4243|
1088|6445|5751|
1090|5314|2679|
1091|9371|5169|
1095|5419|7789|
1098|8785|4867|
1099|10169|1515|
1103|5871|4550|
1107|6766|5734|
1108|4762|4542|
1113|9765|2116|
1118|9919|2549|
1120|9909|4401|
1123|5774|3604|
1126|8464|2768|
1131|6860|591|
1133|9457|8626|
1137|7235|8587|
1139|9063|7201|
1142|6145|8236|
1147|8073|254|
1149|6863|2745|
1151|4465|5472|
1155|10232|1116|
1159|4445|1840|
1163|5626|4491|
1166|5160|7573|
1167|6722|7413|
1169|7345|360|
1174|5974|7492|
1177|9518|6162|
1182|8211|6637|
1183|6736|4202|
1186|6933|4905|
1189|7589|8613|
1190|4843|3357|
1194|4569|5683|
1199|9137|2049|
1201|6014|4974|
1206|10005|672|
1211|8637|8506|
1216|9620|8095|
1217|6557|6287|
1221|10162|6452|
1225|5462|3080|
1227|5565|7822|
1228|8256|1370|
1233|5936|653|
1237|5693|3463|
1238|6030|1205|
1239|7140|574|
1242|4476|6124|
1243|6852|8263|
1248|9039|6915|
1253|8785|8016|
1254|7931|7330|
1255|5662|881|
1259|10210|5057|
1260|5502|5282|
1261|5087|504|
1262|7038|4225|
1264|8267|7376|
1269|9598|6835|
1273|10032|4842|
1276|7860|7145|
1277|4849|3047|
1282|4527|8449|
1287|5581|2129|
1290|5161|2398|
1294|8941|2997|
1296|9168|625|
1300|9002|2779|
1302|6431|5778|
1304|5179|1510|
1305|9314|8156|
1307|6380|6909|
1310|5133|7598|
1315|10161|3825|
1320|5461|2740|
1324|7224|4281|
1325|4750|2730|
1326|9078|2706|
1331|7378|7066|
1334|5256|819|
1337|7699|7933|
1341|8799|8279|
1342|10111|8394|
1346|6992|6839|
1350|6606|7552|
1354|5306|8074|
1358|6875|2282|
1359|4771|7261|
1363|7853|8404|
1368|9140|5660|
1373|6075|6364|
1375|9970|5912|
