2|3969|7765|9867|6965|
4|4437|7190|6624|6446|
9|789|5643|4952|7283|
10|2513|6859|2989|7055|
14|861|8062|6570|6796|
15|1098|4548|10201|7783|
16|542|7002|9176|6909|
18|2093|3767|7147|6448|
20|3026|4053|4476|7040|
23|1379|5733|8356|7818|
27|3654|7407|7845|7819|
29|461|2237|8526|7628|
30|3026|7118|7782|6500|
35|4392|2695|4519|7744|
37|944|96|4032|7906|
41|1095|1046|5193|6729|
42|2221|1317|10716|7705|
46|3669|8881|8779|7729|
48|3166|10027|11028|6861|
49|4453|6295|11266|6929|
50|2259|6996|7275|7091|
54|3725|1388|7499|7674|
59|253|1315|11704|7902|
61|1592|2705|11278|7755|
62|3272|673|10080|7125|
64|1384|9978|10860|6879|
68|1548|11179|4238|7854|
71|133|1915|4010|6576|
75|288|10768|9289|7910|
77|4067|5324|9007|6932|
80|1977|4383|7579|7054|
82|161|2449|6256|6987|
87|3301|2903|6678|7932|
91|45|6159|2610|6956|
94|1615|6701|2532|7367|
97|1483|7608|2507|7582|
102|1548|3795|11744|7871|
106|1673|144|3137|6862|
111|1750|6133|3982|7877|
115|2259|7166|8801|7845|
120|3390|9869|6489|7740|
122|93|4111|12189|7585|
125|838|9245|7325|7095|
129|4616|7197|8642|6690|
133|370|7503|10656|7216|
136|2284|5467|11066|7030|
139|3068|2999|4186|6838|
143|4136|5720|2898|7687|
145|4493|2484|12000|6817|
146|3883|35|8336|7135|
149|1014|7585|11320|7622|
153|1575|6652|7999|6425|
154|3659|9964|7349|7395|
155|2245|8203|7019|6344|
158|891|5773|9876|7651|
159|3976|3146|10585|7568|
161|2293|6024|8860|7916|
165|2199|3289|2401|7676|
168|3394|2834|5399|6975|
169|3888|11245|10269|7010|
170|1441|10830|3568|7086|
174|3345|10285|3082|7260|
178|1137|2309|10715|7174|
183|336|9823|4681|6371|
185|2746|9161|2460|7955|
189|1539|7554|4918|7623|
193|2976|331|3906|6325|
198|2837|7073|7719|7756|
203|2986|10395|3950|6839|
208|4030|10102|2994|6485|
211|3552|4422|10821|6570|
215|3032|8122|3233|7295|
217|1137|9027|2836|7143|
221|2888|3928|6286|6538|
225|2093|4269|12007|7560|
226|3290|5833|2736|6819|
229|1039|10334|9509|6534|
234|249|4451|3293|6880|
239|944|10801|10649|7142|
243|3446|7327|5145|6658|
247|2252|8563|5256|7331|
251|1516|7477|8545|7433|
254|3098|1263|6779|6623|
259|2814|4927|7071|7749|
260|3442|10395|8774|7431|
264|1206|10523|6172|7272|
267|3026|10924|6149|6927|
269|3391|1714|4841|7202|
271|799|1907|3159|6859|
272|1407|3579|10956|6560|
275|3657|4167|6512|7192|
280|3761|11262|5532|6327|
281|2675|9789|8597|7503|
284|2361|10862|5497|6808|
287|522|2086|3985|7638|
292|1350|2060|5180|6490|
294|3400|9701|2971|7697|
296|3009|646|4968|6768|
301|3560|809|9515|6894|
302|99|3800|4575|7579|
305|3393|3744|2654|7356|
307|459|10027|4425|6480|
312|4212|4032|6048|7160|
317|3533|4198|10673|7265|
320|1029|3517|5043|7887|
322|3564|7130|3147|6913|
326|4443|3446|3268|6571|
330|4134|4718|3794|7110|
334|4338|9889|5440|6556|
337|1926|3358|11578|6749|
339|1866|8265|9016|6836|
340|2594|11038|4159|7524|
341|436|6884|9699|6941|
342|2345|3330|5355|6773|
346|1789|7006|12030|6592|
349|578|10683|8173|7104|
352|3693|1783|11828|7770|
356|1032|6486|3075|7915|
358|2348|8244|8926|7795|
361|1597|5937|6927|6847|
362|165|3487|11563|6382|
366|4138|309|11808|6395|
368|1324|6717|7560|7756|
372|3398|9444|12185|7382|
377|3770|9523|3112|6678|
382|548|7170|3156|7637|
383|4470|346|5642|6527|
384|783|5607|3638|7477|
386|3142|4190|11372|6668|
390|1703|3251|10462|7927|
394|725|370|6381|7134|
395|3471|5130|10373|6468|
396|3129|1555|7215|7670|
400|2976|9282|10830|7198|
401|1341|1919|8537|7604|
405|4253|3645|10453|6290|
407|1960|8160|11502|6313|
410|3374|8947|5167|7745|
411|4291|10628|10471|6738|
412|1577|2651|5870|6341|
414|693|8013|3462|7415|
419|1273|6988|2623|6358|
424|4663|11206|8029|7934|
427|2994|7174|6090|6322|
429|312|1710|3033|6734|
434|1375|107|3473|6805|
438|4524|482|10555|7240|
442|215|3117|6700|7980|
443|1943|5928|8984|7320|
447|4136|9372|11259|7674|
448|3752|502|9072|6306|
453|2764|3230|6637|7079|
454|3677|8593|3326|7710|
