5|383|2368|14622|12349|7134|7651|
9|3567|19|13482|13559|8560|7807|
10|2691|231|12789|12160|7623|3711|
11|4322|4134|17462|12306|11323|5303|
14|723|1533|14382|11981|8013|4264|
18|3583|2610|14008|11928|7395|10287|
22|1039|1844|12811|12909|9686|7680|
23|1799|1463|17580|12744|6928|6465|
28|2687|1190|17439|11477|10208|5720|
29|170|3304|10210|11169|9332|5086|
31|386|1695|12505|10746|8232|6765|
34|272|1441|10579|14664|9455|12295|
37|15|3375|12331|12942|11788|4423|
41|1131|4049|13615|11080|7620|4312|
44|438|3324|16562|14907|10821|8387|
47|4552|3503|12356|11939|10691|10093|
51|4597|3009|12866|12448|11013|7731|
52|893|1516|10370|11351|6965|6207|
56|2636|3851|12782|11213|9758|9504|
60|573|4088|17548|10325|6566|10465|
64|2730|1084|11791|14919|8488|5427|
68|2280|2231|15136|10634|8952|3999|
73|2620|2774|10159|11094|8415|11036|
74|731|1696|16459|11483|7659|11983|
76|3917|3533|10111|10600|9969|9208|
79|711|4572|16699|14860|9338|8547|
83|3756|1300|11329|13177|11322|12362|
85|3216|4260|16145|11166|11139|11050|
89|1597|2080|13809|10860|7626|7760|
92|2402|1748|12382|12405|10774|7443|
94|1522|4153|13233|13200|10571|4623|
98|3278|1221|13819|15069|6919|12033|
103|1290|3747|12282|12339|9504|3776|
107|487|1260|17842|12643|9242|6447|
109|1405|1571|10805|14316|7074|11229|
112|4513|313|9811|10747|9576|11028|
115|2420|4647|17693|12943|11635|7135|
118|4322|4527|14451|14808|6747|7777|
123|1516|165|16698|9723|6630|10125|
128|4280|170|14288|13021|10761|6804|
132|472|1032|10783|13887|8379|8376|
135|3210|4532|16568|12091|9664|12780|
140|3337|1622|15995|14497|9902|4708|
145|210|4053|17121|11629|10204|12104|
148|4368|1960|10879|13038|11263|6750|
153|3047|4195|11548|12075|9251|3907|
156|3348|3926|15954|13921|10452|10797|
158|843|161|11388|10055|8618|11155|
163|2886|2116|14529|14014|11265|12036|
168|4527|2198|13425|10171|9354|4663|
171|1326|4291|16022|11362|11339|3827|
173|1261|2291|13986|11264|8541|4101|
176|2603|2763|16800|12561|7113|5587|
178|416|1875|11744|11401|10944|12455|
179|2426|618|16586|11620|9574|12739|
183|1264|2469|10582|12681|8653|8462|
185|2784|3091|16138|12614|9188|5041|
188|4233|166|15845|12609|8693|8044|
189|4329|4072|16194|11443|6982|6404|
192|472|2525|15093|14771|7741|8173|
193|3394|340|12698|14491|8678|5941|
197|2594|558|10565|11583|11544|5476|
198|794|3518|9820|11458|8226|9077|
203|2587|2863|13494|9712|7368|4482|
206|1499|685|11830|11833|8665|6838|
207|487|1539|17322|14975|10352|4666|
212|3086|2682|17084|14520|10970|9187|
216|3922|4011|10540|13076|6706|5593|
221|1428|436|17742|12654|9406|11615|
226|3091|395|16600|12462|7625|12299|
228|4327|1565|12391|10411|7441|4971|
232|1151|1211|11382|14592|7213|3079|
235|3537|4572|17742|13931|6959|4238|
240|2230|153|10559|11589|9879|12834|
245|3996|1854|10647|11255|7358|12646|
247|3540|1877|14329|12239|8911|3359|
251|2784|3112|13376|12753|6857|10778|
254|536|3922|10162|12782|9620|6261|
256|4405|4437|9872|12281|7888|8327|
259|4156|2560|13519|14037|7420|10367|
263|2011|619|13130|9877|10991|11017|
267|1915|4506|14062|10694|9407|6229|
272|642|2459|13108|11000|8231|5286|
274|464|966|10908|13805|8803|11774|
275|3626|3925|10552|10761|7121|8738|
279|3912|4644|17543|10230|6552|11515|
282|3657|3834|10865|12232|7702|12044|
284|3698|4630|15773|11737|11705|3436|
288|3496|3393|9800|10590|10290|10866|
292|2540|642|13457|13605|9412|7647|
295|3212|1560|12669|12904|11015|5024|
